date,THYAO.IS,ASELS.IS,GARAN.IS,SISE.IS,KCHOL.IS,USDTRY_TCMB
2022-01-03,21.33515167236328,10.794636726379395,9.243900299072266,12.772174835205078,25.651905059814453,13.4221
2022-01-04,22.272958755493164,11.141253471374512,9.219701766967773,13.140779495239258,25.906221389770508,13.1873
2022-01-05,23.347532272338867,11.398740768432617,9.235834121704102,13.279006958007812,26.6352596282959,13.3687
2022-01-06,24.285341262817383,11.51758098602295,9.260032653808594,13.68447208404541,27.194751739501953,13.6352
2022-01-07,24.363492965698242,11.61661434173584,9.47782039642334,13.693687438964844,27.78815269470215,13.7526
2022-01-10,26.082807540893555,11.983037948608398,9.469754219055176,13.730547904968262,27.669471740722656,13.7195
2022-01-11,26.27818489074707,11.884002685546875,9.502019882202148,13.601536750793457,27.822063446044922,13.7314
2022-01-12,26.25864601135254,11.963231086730957,9.558484077453613,13.997785568237305,28.05942153930664,13.7209
2022-01-13,28.114727020263672,12.032552719116211,9.582682609558105,13.868775367736816,28.05942153930664,13.54
2022-01-14,27.567670822143555,11.953327178955078,9.566549301147461,13.887205123901367,28.05942153930664,13.5054
2022-01-17,27.626285552978516,11.992938995361328,9.67141056060791,13.748978614807129,28.144195556640625,13.4788
2022-01-18,26.25864601135254,11.289803504943848,9.292298316955566,13.067059516906738,26.736984252929688,13.5109
2022-01-19,26.766626358032227,11.497773170471191,9.703675270080566,13.10391902923584,27.85597038269043,13.5703
2022-01-20,27.4504451751709,11.161060333251953,9.63107967376709,12.70766830444336,27.126934051513672,13.4431
2022-01-21,26.864316940307617,11.042220115661621,9.623013496398926,12.827466011047363,26.720029830932617,13.402
2022-01-24,25.418527603149414,10.339082717895508,9.421358108520508,12.025748252868652,25.2619571685791,13.3846
2022-01-25,25.51621437072754,10.477728843688965,9.55041790008545,12.311416625976562,26.533533096313477,13.5
2022-01-26,26.590787887573242,10.576764106750488,9.534283638000488,12.311416625976562,26.533533096313477,13.5029
2022-01-27,27.977962493896484,11.042220115661621,9.614946365356445,12.726099014282227,26.872621536254883,13.5932
2022-01-28,27.509057998657227,10.854057312011719,9.518152236938477,12.495720863342285,27.04216194152832,13.6066
2022-01-31,28.05611228942871,10.695602416992188,9.606880187988281,12.716883659362793,27.516881942749023,13.4015
2022-02-01,27.665359497070312,10.646087646484375,9.63107967376709,13.020983695983887,27.61861228942871,13.367
2022-02-02,27.157379150390625,10.527246475219727,9.913396835327148,12.827466011047363,27.80510711669922,13.4287
2022-02-03,26.395410537719727,10.269760131835938,9.63107967376709,12.486504554748535,26.703075408935547,13.5543
2022-02-04,26.043731689453125,10.160823822021484,9.623013496398926,12.33906364440918,26.516576766967773,13.5336
2022-02-07,27.606748580932617,10.428214073181152,9.63107967376709,12.73531436920166,27.60165786743164,13.5429
2022-02-08,28.114727020263672,10.438116073608398,9.679476737976074,13.00255298614502,28.245920181274414,13.616
2022-02-09,29.150224685668945,10.586665153503418,9.703675270080566,13.140779495239258,28.53414535522461,13.5675
2022-02-10,29.111146926879883,10.497536659240723,9.655278205871582,12.827466011047363,28.58500862121582,13.5322
2022-02-11,28.93531036376953,10.76492691040039,9.63107967376709,12.781390190124512,28.652820587158203,13.4933
2022-02-14,27.938888549804688,10.814443588256836,9.526219367980957,12.292987823486328,28.381555557250977,13.5378
2022-02-15,29.2674503326416,10.774829864501953,9.598814964294434,12.412785530090332,28.92409324645996,13.6032
2022-02-16,28.915773391723633,11.02241325378418,9.55041790008545,12.412785530090332,29.38186264038086,13.6154
2022-02-17,28.075651168823242,10.745121002197266,9.518152236938477,12.05339527130127,29.008867263793945,13.6035
2022-02-18,28.720394134521484,10.725312232971191,9.55041790008545,12.246912002563477,28.73759651184082,13.6118
2022-02-21,28.759469985961914,10.705507278442383,9.518152236938477,12.163975715637207,29.008867263793945,13.6123
2022-02-22,28.21241569519043,10.63618278503418,9.429423332214355,11.952028274536133,28.92409324645996,13.7447
2022-02-23,27.430908203125,10.398503303527832,9.381026268005371,11.85987663269043,28.09333038330078,13.7849
2022-02-24,24.695632934570312,9.35865306854248,8.88092041015625,10.81856632232666,25.295866012573242,14.2324
2022-02-25,26.66893768310547,10.170726776123047,9.179369926452637,11.334613800048828,26.753938674926758,14.0395
2022-02-28,25.027774810791016,11.0125093460083,8.937382698059082,11.408334732055664,26.821754455566406,13.8286
2022-03-01,24.676095962524414,11.884002685546875,9.372960090637207,11.251676559448242,26.872621536254883,13.8854
2022-03-02,25.37944984436035,11.369030952453613,9.372960090637207,11.131881713867188,27.1099796295166,14.0386
2022-03-03,25.340375900268555,11.794873237609863,9.502019882202148,11.27932357788086,27.466020584106445,14.112
2022-03-04,24.71516990661621,11.983037948608398,9.558484077453613,11.11345100402832,26.24530792236328,14.1766
2022-03-07,25.301300048828125,12.032552719116211,9.47782039642334,11.18717098236084,25.78754234313965,14.3012
2022-03-08,24.71516990661621,12.834723472595215,9.356827735900879,11.896737098693848,25.414546966552734,14.4728
2022-03-09,25.535751342773438,12.379170417785645,9.55041790008545,12.071824073791504,26.347036361694336,14.6061
2022-03-10,25.14499855041504,12.091974258422852,9.453622817993164,12.127114295959473,26.279216766357422,14.7435
2022-03-11,25.809280395507812,12.052360534667969,9.493952751159668,12.468074798583984,26.533533096313477,14.9042
2022-03-14,26.004657745361328,11.933521270751953,9.566549301147461,12.753744125366211,28.788455963134766,14.7624
2022-03-15,27.02061653137207,11.86419677734375,9.574615478515625,12.523366928100586,28.466331481933594,14.7503
2022-03-16,27.0596923828125,11.606710433959961,9.566549301147461,12.403569221496582,29.07668113708496,14.6758
2022-03-17,27.215993881225586,11.775066375732422,9.566549301147461,12.633947372436523,30.33130645751953,14.6697
2022-03-18,27.0792293548584,11.537386894226074,9.542351722717285,12.587871551513672,30.907747268676758,14.764
2022-03-21,27.274606704711914,11.963231086730957,9.542351722717285,12.993337631225586,31.009475708007812,14.816
2022-03-22,27.86073875427246,12.032552719116211,9.623013496398926,13.223716735839844,31.450288772583008,14.8041
2022-03-23,27.4504451751709,11.844390869140625,9.81660270690918,13.039412498474121,31.36551856994629,14.8063
2022-03-24,27.46998405456543,11.68593692779541,9.719807624816895,13.18685531616211,31.975872039794922,14.8234
2022-03-25,27.509057998657227,11.804777145385742,9.752073287963867,13.12234878540039,31.823287963867188,14.8068
2022-03-28,28.388254165649414,11.676033020019531,9.760140419006348,13.085489273071289,31.314653396606445,14.8221
2022-03-29,30.908615112304688,11.844390869140625,9.768205642700195,13.914852142333984,32.73881912231445,14.7933
2022-03-30,31.436134338378906,12.07216739654541,9.832735061645508,13.942496299743652,33.908668518066406,14.6458
2022-03-31,31.5142822265625,11.953327178955078,9.840801239013672,14.016218185424805,33.62044143676758,14.6371
2022-04-01,32.02226257324219,12.270235061645508,10.042457580566406,14.16365909576416,33.298309326171875,14.6609
2022-04-04,32.686546325683594,12.547527313232422,10.18764877319336,14.993021011352539,33.89171600341797,14.6862
2022-04-05,33.7025032043457,12.884241104125977,10.074722290039062,15.24183177947998,33.77303695678711,14.6955
2022-04-06,33.81972885131836,12.646561622619629,10.010191917419434,15.02066707611084,33.7391242980957,14.7176
2022-04-07,34.79661560058594,12.92385482788086,10.171516418457031,15.370840072631836,34.122501373291016,14.7289
2022-04-08,34.50354766845703,13.815154075622559,10.728087425231934,15.573575019836426,35.77051544189453,14.7213
2022-04-11,35.32413101196289,13.854767799377441,11.195928573608398,15.721016883850098,36.95014190673828,14.7162
2022-04-12,36.37916946411133,13.765637397766113,11.074934959411621,15.914535522460938,36.62054443359375,14.6633
2022-04-13,36.12517547607422,13.795348167419434,11.002338409423828,15.99747085571289,35.527645111083984,14.5604
2022-04-14,36.496395111083984,13.775541305541992,11.050735473632812,15.98825454711914,35.007225036621094,14.5933
2022-04-15,36.867610931396484,13.636895179748535,11.212060928344727,16.052762985229492,35.33682632446289,14.6181
2022-04-18,36.76991653442383,13.943897247314453,11.63150405883789,16.651744842529297,35.839900970458984,14.6252
2022-04-19,37.86402893066406,13.72602367401123,11.437915802001953,16.559593200683594,36.48176193237305,14.6343
2022-04-20,37.96171951293945,13.795348167419434,11.4459810256958,16.73468017578125,35.85725021362305,14.6424
2022-04-21,39.2512092590332,14.122159004211426,11.687968254089355,16.84526252746582,35.68377685546875,14.6605
2022-04-22,38.821380615234375,13.369504928588867,11.4459810256958,16.43058204650879,34.26128387451172,14.7068
2022-04-25,38.68461227416992,13.369504928588867,12.07514762878418,16.522735595703125,34.86844253540039,14.7439
2022-04-26,38.196170806884766,12.676270484924316,12.083213806152344,16.22785186767578,34.348018646240234,14.767
