date,THYAO_Return,ASELS_Return,GARAN_Return,SISE_Return,KCHOL_Return,USDTRY_Return
2022-01-04,0.04395596045115924,0.032110088906287304,-0.0026177837624363764,0.028859976064386617,0.00991412959206528,-0.017493536778894536
2022-01-05,0.048245656477080345,0.023111160491920746,0.0017497696936497054,0.010518969808346101,0.028141285414968076,0.013755658853594088
2022-01-06,0.04016737098976364,0.010425732105378227,0.0026200700213558914,0.03053436759195316,0.021005910253007798,0.019934623411401065
2022-01-07,0.0032180607237550785,0.008598450997051588,0.023519214718912274,0.0006732774835687128,0.02182027852099222,0.008610068059140996
2022-01-10,0.07056929716998961,0.03154306376136473,-0.0008510581778460313,0.002691855090835471,-0.004270850528811376,-0.002406817619940882
2022-01-11,0.007490656423668973,-0.008264620665164868,0.003407132379258382,-0.009395921784601469,0.005514665460057966,0.0008673785487809393
2022-01-12,-0.0007435399163132628,0.006666811114107052,0.005942436410972363,0.02913272069018591,0.00853135919781578,-0.0007646707546208331
2022-01-13,0.07068456645131982,0.005794557664454247,0.0025315286210496613,-0.009216539627380005,0.0,-0.013184266338214012
2022-01-14,-0.019457994300489778,-0.006584267030491975,-0.00168358997871354,0.0013288668736697318,0.0,-0.0025553914327917093
2022-01-17,0.00212621266457802,0.003313873686649371,0.010961241735081284,-0.00995351533018951,0.0030211638492476656,-0.001969582537355463
2022-01-18,-0.049505009966080094,-0.058629122576996484,-0.039199271013939274,-0.04959786982578507,-0.04999998983441134,0.002381517642520148
2022-01-19,0.01934526047002083,0.018421017286640362,0.04427074326427549,0.0028209424102110248,0.04185162092984096,0.00439645027348301
2022-01-20,0.02554744135446385,-0.02928504782856478,-0.007481345775412596,-0.03023909832395666,-0.0261717049705944,-0.009373411052077008
2022-01-21,-0.021352230578520426,-0.010647753353350664,-0.00083731742351012,0.009427122353940831,-0.014999868165015195,-0.003057330526441082
2022-01-24,-0.053818205777230066,-0.06367717636499792,-0.02095563116931609,-0.06250008828620168,-0.05456852284589786,-0.001298313684524599
2022-01-25,0.003843132423060558,0.01340990584720636,0.013698437394030316,0.023754806834084707,0.05033560239380108,0.008621848990630898
2022-01-26,0.042113359812436135,0.009451978051634224,-0.0016890783683433108,0.0,0.0,0.00021481481481488984
2022-01-27,0.052167487935606216,0.04400741136072628,0.008460181034670722,0.033682671548462606,0.012779474170981686,0.006687452325055965
2022-01-28,-0.016759779964018118,-0.017040305452978965,-0.010067147378070351,-0.018102884816133202,0.006309180954890081,0.0009857870111527056
2022-01-31,0.01988633310519705,-0.014598678675132426,0.00932207338205826,0.01769916029597529,0.017554808256973864,-0.015073567239427876
2022-02-01,-0.01392754592394585,-0.004629451299456355,0.002518875184344349,0.023913094179893735,0.003696876889715872,-0.002574338693429823
2022-02-02,-0.01836160295453526,-0.011162896193503857,0.029313338320006155,-0.014861986579110087,0.006752574877559647,0.004615844991396667
2022-02-03,-0.02805751646546273,-0.024459040071864058,-0.02847853732066652,-0.02658050329900441,-0.039634147178012946,0.009353101938385677
2022-02-04,-0.013323484693069765,-0.010607483370205895,-0.00083731742351012,-0.011808173038367675,-0.006984091973044171,-0.0015271906332308127
2022-02-07,0.06001508962375257,0.026315804293363998,0.0008380191115133773,0.03211351905116877,0.040920784179681036,0.0006871785777620154
2022-02-08,0.018400516737487216,0.0009495394281089364,0.00502519180767691,0.02098406283566856,0.023341435392653098,0.005397662243684875
2022-02-09,0.03683114777031049,0.014231407166529708,0.002499983496995428,0.010630794818076161,0.010204067162684849,-0.0035619858989422992
2022-02-10,-0.0013405645826213286,-0.008418939578267448,-0.0049874983304735165,-0.023842838570223623,0.0017825404881741669,-0.002601805785885425
2022-02-11,-0.0060401798511068305,0.025471713968656662,-0.0025063478506598402,-0.0035919659333472076,0.0023724915885845466,-0.0028746249685934755
2022-02-14,-0.034436188913752996,0.004599815518357531,-0.010887602018354814,-0.038212065592822864,-0.009467438211324342,0.003297933048253654
2022-02-15,0.047552420722412725,-0.003663038549472697,0.007620609342409379,0.009745284978096791,0.019115787391073447,0.004830917874395935
2022-02-16,-0.012015974638069138,0.02297793954945848,-0.005042181950339786,0.0,0.015826578216543652,0.0008968478005175751
2022-02-17,-0.029054115603937225,-0.025157127137445556,-0.0033783564503571117,-0.028953308795367838,-0.012694685085718471,-0.0008740103118526354
2022-02-18,0.02296448840389509,-0.0018435129043240517,0.0033898084315373556,0.01605503643513284,-0.009351238782876026,0.0006101370970705844
2022-02-21,0.0013605611140781182,-0.0018465620486017853,-0.0033783564503571117,-0.006772094106924698,0.009439509893887088,3.673283474614486e-05
2022-02-22,-0.01902170975468298,-0.006475591637567835,-0.009322073382058371,-0.017424114368398746,-0.0029224141677681725,0.009726497359006325
2022-02-23,-0.027700835706835902,-0.02234631411569743,-0.005132457598337137,-0.0077100460319119435,-0.028722110785454058,0.0029247637271094806
2022-02-24,-0.0997150822823678,-0.09999999082873479,-0.053310255177564825,-0.08780126187049309,-0.09957752721230961,0.032463057403390616
2022-02-25,0.07990500805398737,0.08677249831070388,0.033605585546288674,0.04770017651485081,0.05764074895197435,-0.013553581967904238
2022-02-28,-0.061538366912684106,0.08276523285056037,-0.02636197001080598,0.006504222098688617,0.0025348674381107106,-0.015021902489404937
2022-03-01,-0.014051542772990366,0.0791366719570108,0.048736459782537045,-0.013731904190317334,0.0018963435989425292,0.004107429530104234
2022-03-02,0.028503450582463286,-0.04333318888589299,0.0,-0.0106470126601097,0.008832711382049219,0.011033171532689012
2022-03-03,-0.001539589878087111,0.03745633967724804,0.013769373849554789,0.01324509495423598,0.01313334791108911,0.0052284415824939146
2022-03-04,-0.024672325150698282,0.015953093111551242,0.005942436410972363,-0.014705897273646906,-0.0444445339499584,0.004577664399092907
2022-03-07,0.02371540007317563,0.004132071576520513,-0.008438960857038103,0.006633401119580107,-0.017441733708330576,0.00878913138552262
2022-03-08,-0.0231660089039204,0.06666671422137949,-0.012765872667690026,0.0634266843491964,-0.01446431609233656,0.011998993091488774
2022-03-09,0.03320152923316777,-0.03549379585639456,0.020689414072238455,0.014717307893331144,0.036691170074826696,0.009210380852357591
2022-03-10,-0.015302185046886407,-0.0231999519895264,-0.01013496949423609,0.00458026303055914,-0.0025740159905205395,0.009407028570254772
2022-03-11,0.02641805064179681,-0.003276034409954942,0.004266183199530538,0.02811538947593073,0.009677542506908443,0.010899718520025692
2022-03-14,0.00757004251414628,-0.009860248004876837,0.007646508353681192,0.022912063923026027,0.08498381234017383,-0.009514096697575192
2022-03-15,0.039068339062911406,-0.005809223600925839,0.0008431647728190939,-0.018063495315655764,-0.011189429157378417,-0.0008196499214220276
2022-03-16,0.0014461495130972946,-0.021702804514798113,-0.0008424544449083804,-0.009565934408197863,0.021441108294351086,-0.0050507447306155084
2022-03-17,0.005776174252164257,0.014505052291118536,0.0,0.018573613812304046,0.04314872052012797,-0.000415650254159905
2022-03-18,-0.005025152745258832,-0.020184980187983315,-0.0025294943184570595,-0.0036471360403029784,0.019005131132612707,0.006428215982603458
2022-03-21,0.007215026221507381,0.03690993432126288,0.0,0.032210931168598744,0.003291233463068366,0.003522080736927835
2022-03-22,0.02149002755223184,0.005794557664454247,0.008453229501053316,0.0177305563168475,0.014215431074229956,-0.0008031857451404889
2022-03-23,-0.014726586495795724,-0.01563773326973683,0.020117116540352642,-0.013937328466201548,-0.0026952499085906023,0.00014860748036027438
2022-03-24,0.0007117873415110054,-0.013377973008139254,-0.009860150913400978,0.01130740002644659,0.01945937524533181,0.0011549137866988524
2022-03-25,0.0014224232534747472,0.010169507017247836,0.003319381810639399,-0.0048917296212886985,-0.004771969071914017,-0.0011198510463185096
2022-03-28,0.031960242587554255,-0.010906103840895853,0.0008272222319472,-0.0028089111889870733,-0.01598309287959987,0.001033309020179951
2022-03-29,0.08878182264920609,0.014419096694264999,0.0008264407897873305,0.0633802755312427,0.04547908906969034,-0.0019430445078633118
2022-03-30,0.017067061211170742,0.01923075064993296,0.006606066795239451,0.001986734224402875,0.03573291212455798,-0.009970729992631822
2022-03-31,0.0024859255066926877,-0.009844149247329015,0.0008203391342891386,0.005287567168478224,-0.008499987737589865,-0.0005940269565335443
2022-04-01,0.016119051769217352,0.026512106457553974,0.020491765150073338,0.010519307589880178,-0.009581548456111921,0.0016260051512935192
2022-04-04,0.020744435247885384,0.022598772573940273,0.014457831554130607,0.05855569268189509,0.017820925123657405,0.0017256785054122759
2022-04-05,0.0310818056009734,0.026835071364097463,-0.011084646287712552,0.016595104623192247,-0.0035018250865832545,0.0006332475385055769
2022-04-06,0.003478247483929886,-0.01844730159778174,-0.0064050816575970115,-0.014510437223364425,-0.0010040212808686277,0.0015038617263787302
2022-04-07,0.028885114767249087,0.02192637125693242,0.016116023249007627,0.02331293648741295,0.011363095452783245,0.0007677882263412705
2022-04-08,-0.008422311396398263,0.06896543327141713,0.054718394420796734,0.013189454913501875,0.048296871663642715,-0.0005159923687444445
2022-04-11,0.023782578863797088,0.0028674109270183656,0.04360909126628765,0.009467254228669342,0.03297761998313753,-0.00034643679566337404
2022-04-12,0.029867357580322107,-0.006433193461050535,-0.010806929804999754,0.012309551189926049,-0.008920059738239505,-0.0035946779739335355
