Date,ASELS.IS,GARAN.IS,KCHOL.IS,SISE.IS,THYAO.IS
2022-01-03,10.794636726379395,9.243900299072266,25.651906967163086,12.772174835205078,21.33515167236328
2022-01-04,11.141253471374512,9.21970272064209,25.906221389770508,13.140780448913574,22.272958755493164
2022-01-05,11.3987398147583,9.235833168029785,26.635257720947266,13.279006958007812,23.347532272338867
2022-01-06,11.51758098602295,9.260032653808594,27.194753646850586,13.68447208404541,24.285341262817383
2022-01-07,11.616613388061523,9.477821350097656,27.78815269470215,13.693687438964844,24.363492965698242
2022-01-10,11.983037948608398,9.469755172729492,27.669471740722656,13.730547904968262,26.082807540893555
2022-01-11,11.884004592895508,9.502019882202148,27.822063446044922,13.601536750793457,26.27818489074707
2022-01-12,11.96323013305664,9.558484077453613,28.05942153930664,13.997786521911621,26.25864601135254
2022-01-13,12.032552719116211,9.582681655883789,28.05942153930664,13.868776321411133,28.114727020263672
2022-01-14,11.953326225280762,9.566549301147461,28.05942153930664,13.887205123901367,27.567670822143555
2022-01-17,11.992939949035645,9.671409606933594,28.144195556640625,13.748978614807129,27.626285552978516
2022-01-18,11.289802551269531,9.292298316955566,26.736984252929688,13.067059516906738,26.25864601135254
2022-01-19,11.497773170471191,9.703676223754883,27.85597038269043,13.10391902923584,26.766626358032227
2022-01-20,11.161060333251953,9.631078720092773,27.126935958862305,12.707669258117676,27.4504451751709
2022-01-21,11.042221069335938,9.623014450073242,26.72003173828125,12.827466011047363,26.864316940307617
2022-01-24,10.339082717895508,9.421357154846191,25.2619571685791,12.025748252868652,25.418527603149414
2022-01-25,10.477729797363281,9.550416946411133,26.533531188964844,12.311417579650879,25.51621437072754
2022-01-26,10.576764106750488,9.534284591674805,26.533531188964844,12.311417579650879,26.590787887573242
2022-01-27,11.042221069335938,9.614947319030762,26.87261962890625,12.726099014282227,27.977962493896484
2022-01-28,10.854056358337402,9.518152236938477,27.042163848876953,12.495719909667969,27.509057998657227
2022-01-31,10.69560432434082,9.606881141662598,27.516883850097656,12.716883659362793,28.05611228942871
2022-02-01,10.646086692810059,9.631078720092773,27.61861228942871,13.020983695983887,27.665359497070312
2022-02-02,10.527247428894043,9.913397789001465,27.80510902404785,12.827466011047363,27.157379150390625
2022-02-03,10.269760131835938,9.631078720092773,26.703075408935547,12.486504554748535,26.395410537719727
2022-02-04,10.160822868347168,9.623014450073242,26.516578674316406,12.339062690734863,26.043731689453125
2022-02-07,10.428213119506836,9.631078720092773,27.60165786743164,12.73531436920166,27.606748580932617
2022-02-08,10.438117027282715,9.679475784301758,28.245920181274414,13.00255298614502,28.114727020263672
2022-02-09,10.586666107177734,9.703676223754883,28.534143447875977,13.140780448913574,29.150224685668945
2022-02-10,10.497536659240723,9.655278205871582,28.585006713867188,12.827466011047363,29.111146926879883
2022-02-11,10.76492691040039,9.631078720092773,28.65282440185547,12.781389236450195,28.93531036376953
2022-02-14,10.814443588256836,9.52621841430664,28.38155746459961,12.292986869812012,27.938888549804688
